scenario,planner,replan_policy,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm
snapshot_1787566435,visibility,cycle,kinematic,0,1,1,1,1.0,0,1,0.0,566.0,288.0,63,2558.4879869995802,2558.4879869995802,2558.4879869995802,4.520296796819046,14.928024000028017,3583.3333333333253,3583.3333333333253,2580.5178680000154,1.388610161459771,7472.2471686910085,7290.28050245673,58.930199878903274,-3.6517326970002557
snapshot_1787566435,visibility,event,kinematic,0,1,1,1,1.0,0,1,0.0,526.0,18.0,31,192.0521690035457,192.0521690035457,192.0521690035457,0.36511819202195,9.254004000013083,3283.3333333333267,3283.3333333333267,207.94396499991308,15.789510089098759,7472.2471686910085,7277.144113416912,59.00377009319306,-2.4877880144187543
snapshot_1787566435~perturbed,voronoi,once,kinematic,0,20,20,20,1.0,0,5,0.75,3.0,0.0,0,13.570312000069862,14.873045999820533,13.412479599992366,4.523437333356621,5.891385000040827,5112.999999999979,5112.999999999979,18.039901099996314,284.3787900943089,13226.595981125905,12480.248580246867,58.96335302690123,-79.86201434435607
snapshot_1787566435~perturbed,voronoi,cycle,kinematic,0,20,20,20,1.0,0,0,1.0,395.25,80.6,279,386.1100894980609,574.1377920044215,382.49916039991376,0.9448678799932754,9.377570999959062,2459.166666666663,2459.166666666663,395.9717330499984,7.019261792039916,13226.595981125905,8939.366288237452,59.07030059810084,1.2437566185605249
snapshot_1787566435~perturbed,voronoi,event,kinematic,0,20,20,20,1.0,0,0,1.0,462.0,1.55,52,31.338640000285523,64.48612000031062,36.25645289971544,0.06511944811194251,16.917406999937157,3353.333333333326,3353.333333333326,50.95218815001772,68.26029741469975,13226.595981125905,9316.235464396392,59.018563392794114,0.5448494314122456
snapshot_1787566435~perturbed,prm,once,kinematic,0,20,20,20,1.0,0,5,0.75,3.0,0.0,0,20.097907500030487,22.317043000157355,19.892385450054917,6.6993025000101625,8.53729900018152,3613.0000000000023,3613.0000000000023,23.209565599972848,156.25980871253574,11078.927989082738,10408.229104816297,58.75902253061215,-126.58640472476063
snapshot_1787566435~perturbed,prm,cycle,kinematic,0,20,20,20,1.0,0,0,1.0,416.35,115.95,161,808.1055559996457,1254.660591001766,833.051619150433,2.0245197352821207,18.134070000087377,2756.6666666666615,2756.6666666666615,850.3332212000032,3.400976209789763,11078.927989082738,9160.567346507876,59.07533217596396,27.23227183075815
snapshot_1787566435~perturbed,prm,event,kinematic,0,20,20,20,1.0,0,1,0.95,451.3,3.2,195,52.35251000067365,80.48466900049789,51.31852994977635,0.11174827457853817,12.800704000028418,3123.333333333327,3123.333333333327,65.35741354997526,50.43126047532671,11078.927989082738,9611.078192073574,59.042224916425766,-156.86328753837927
snapshot_1787566435~perturbed,visibility,once,kinematic,0,20,20,20,1.0,0,25,0.2,3.0,0.0,0,27.274505500145096,62.78937099978066,29.58393145000855,9.091501833381699,33.422649999920395,3437.0000000000027,3437.0000000000027,32.935823049967894,108.16058276763879,7520.194390299395,7293.398409092648,58.92300950881006,-165.9721730511676
snapshot_1787566435~perturbed,visibility,cycle,kinematic,0,20,20,20,1.0,0,29,0.15,532.4,251.1,1244,2202.267059500741,2656.5711799978544,2197.199389200273,4.1204159614157145,22.29402099987965,3473.3333333333258,3473.3333333333258,2217.86643749997,1.595767948442315,7520.194390299395,7392.5371545388025,59.050895074234326,-159.15518298048562
snapshot_1787566435~perturbed,visibility,event,kinematic,0,20,20,20,1.0,0,24,0.2,530.85,36.4,1145,317.70378500220886,729.5586029990773,351.5516466002282,0.5895643624084832,20.160290999911012,3462.4999999999927,3462.4999999999927,368.2214829499685,10.932791590965678,7520.194390299395,7341.368199316089,59.08616527231444,-158.2198109049036
random,voronoi,once,kinematic,0,200,200,168,0.84,36,77,0.69,3.0,0.0,0,4.013246999988951,8.418950000532277,3.2959968199952527,1.3377489999963168,7.260051000002932,4606.785714285689,4471.199999999976,8.568647425003064,616.253886393245,12570.089849825912,12257.827966127303,317.36852597873553,-172.53499951765565
random,voronoi,cycle,kinematic,0,200,200,168,0.84,36,32,0.92,395.25,37.715,1480,83.14228699828163,609.1016939969904,155.1553985946191,0.22107057669662017,13.80141000004187,2783.630952380948,2769.9166666666624,170.96660078500463,42.27775055602945,12570.089849825912,11663.210832683211,317.5801221802314,-173.61265080046752
random,voronoi,event,kinematic,0,200,200,168,0.84,36,23,0.895,411.835,1.715,434,18.285855498106685,34.65992400015239,19.744608105244197,0.04585643007709409,6.125502000031702,2956.349206349201,2970.666666666661,35.56272468499856,87.60143238017007,12570.089849825912,11707.328955153327,317.55903079938224,-173.61265080046752
random,prm,once,kinematic,0,200,200,195,0.975,5,98,0.64,3.0,0.0,0,6.598175500243997,17.51677600009316,6.358766099986042,2.1993918334146656,12.488659999917218,3627.89743589743,3614.499999999994,10.686290545005477,471.5641376367827,12875.538906953712,12615.630125571497,98.73958756228238,-174.698548945373
random,prm,cycle,kinematic,0,200,200,195,0.975,5,10,0.95,406.65,36.175,734,201.34614300047815,889.8428820002664,283.603090684976,0.47207598013794183,21.402199000021938,2669.7435897435853,2661.4166666666624,301.890530134998,15.559927265410895,12875.538906953712,12242.897799426775,98.94706747470684,-173.71803387001663
random,prm,event,kinematic,0,200,200,195,0.975,5,12,0.94,422.655,1.725,427,20.09415050156349,54.90695599723949,24.924547245409485,0.04980706101910222,18.35498400009783,2878.9743589743534,2865.6666666666615,40.58722765499624,80.03439073551549,12875.538906953712,12392.17447470835,98.94058785619305,-173.61265080046752
random,visibility,once,kinematic,0,200,200,195,0.975,5,69,0.72,3.0,0.0,0,8.965386499767192,25.32233399983852,8.632249790005062,2.9884621665890636,18.173662000208424,3046.3589743589755,3035.800000000001,12.326976315006277,417.2894659737221,11994.327875704912,11815.035813140561,98.73319677028861,-172.53499951765565
random,visibility,cycle,kinematic,0,200,200,195,0.975,5,35,0.855,422.685,62.37,1948,389.885463001292,1739.900000998432,569.2710629600799,0.9332997389539712,36.92482599990399,2850.170940170935,2839.6666666666615,587.539365705004,16.332790623121287,11994.327875704912,11828.49785390067,98.98575198918832,-173.61265080046752
random,visibility,event,kinematic,0,200,200,195,0.975,5,38,0.845,428.725,7.505,1852,48.34031949962991,254.4971290005833,81.1687208501769,0.11528708642053445,22.88692499996614,2929.7435897435844,2917.2499999999945,97.25565959500273,54.609100681360296,11994.327875704912,11831.416768967889,98.99258888129616,-173.61265080046752
