scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,collision_probability,collision_probability_ci95,contact_time_ms_mean,rebuild_share_of_planning_time,check_call_ms_mean,rebuild_call_ms_mean,replans_active_blocked_mean,replans_route_finished_mean,replans_route_blocked_mean,direct_path_switches_mean,path_shift_mm_mean,heading_change_rad_per_m_mean,sharp_turns_mean,path_efficiency_mean
random,voronoi,event+pred50,50.0,100.0,0.0,kinematic,0,200,200,196,0.98,4,115,0.58,160.165,8.485,113,38.10164995957166,73.40070005739108,40.39943799478351,0.24216526643277092,9.505499998340383,3944.4897959183595,3932.6999999999916,82.96649449956021,49.770876320660136,26993.850779997894,26180.994617106608,74.49351921528537,-177.64371923534372,0.36,0.09205000242218375,10.564425501803342,0.42000000000000004,0.354-0.489,177.20000000000005,0.8106097665486061,0.052513788559623624,2.2639598341960836,7.945,0.0,0.42,6.405,358.69750524407806,0.7065365285856263,4.705,0.9308404124498325
random,voronoi,event+pred150,150.0,20.0,0.0,kinematic,0,200,200,191,0.955,9,64,0.74,901.035,64.57,1003,128.055099863559,300.61060009757057,144.741015019099,0.14208093926689247,10.04069999908097,4985.863874345528,4946.699999999978,263.07362100080354,20.064983541420354,27344.811413851337,27982.534473484542,87.97149022420965,-176.25806146144146,0.495,0.07189999450929463,30.167540425719945,0.26,0.204-0.325,114.79999999999835,0.6446309084835067,0.061933610688025824,1.322999390380527,57.69,0.0,6.15,15.14,148.03668017680715,2.0150980406995376,14.88,0.8763538983964938
random,voronoi,event+pred150,150.0,100.0,0.0,kinematic,0,200,200,191,0.955,9,89,0.68,180.98,20.72,237,57.61985000572167,119.11410005996004,61.196298017312074,0.3128148697983057,9.25260002259165,4698.42931937171,4672.499999999983,110.90949649907998,45.06984177136713,27344.811413851337,27836.90688860521,88.08271285692365,-179.49286605990815,0.49,3.5077499924227595,13.271691955475482,0.31999999999999995,0.259-0.388,117.10000000000002,0.8256592250461169,0.06914234808105353,1.8941813681973798,18.075,0.0,2.185,9.64,272.97563159046445,1.3928146895578521,10.94,0.8788716104019074
random,prm,once,0.0,20.0,0.0,kinematic,0,200,200,181,0.905,19,458,0.135,6.0,0.0,0,15.426350000780076,39.12920001312159,17.28669650183292,2.5710583334633457,54.78380000567995,4245.856353591151,4218.49999999999,47.65166600103839,98.44524860620392,25156.48849039393,24679.487877055202,125.88021155094708,-177.1092750116747,0.1,8.728699991479516,4.001903952738422,0.865,0.811-0.906,435.50000000000017,0.9991919798072615,0.14703157725498864,2.925102201861761,0.0,0.0,0.0,0.0,0.0,0.08526891256627091,0.31,0.9861640865575336
random,prm,cycle,0.0,20.0,0.0,kinematic,0,200,200,181,0.905,19,128,0.54,676.0,62.375,3543,669.3954998045228,1550.071300007403,764.5727775245905,1.006263984527997,58.715099992696196,2913.9226519337035,2914.400000000002,847.1820519999892,4.353559078561759,25156.48849039393,24691.166686906236,125.91026304943786,-172.85732940191176,0.17,7.855999981984496,252.6087083311528,0.45999999999999996,0.392-0.529,159.40000000000003,0.8382169694400609,0.20353929610932403,9.386026310677096,0.0,0.0,0.0,6.445,90.09489606818211,0.752242195563103,4.285,0.9855403505181931
random,prm,cycle,0.0,100.0,0.0,kinematic,0,200,200,181,0.905,19,202,0.4,137.145,10.74,878,127.35535012325272,319.82629987760447,148.33617000447703,0.9168652406735525,31.28540000761859,2897.569060773482,2899.800000000001,182.02795250006602,19.53993736285551,25156.48849039393,24630.482860760832,125.88687796131937,-176.91467890216379,0.205,7.691849998082034,49.28598524633046,0.6,0.531-0.665,196.1,0.8374285111816375,0.20012640666590492,7.462958125637457,0.0,0.0,0.0,4.515,231.40561863952993,0.38054641813561396,1.99,0.9885515309575994
random,prm,cycle+pred50,50.0,20.0,0.0,kinematic,0,200,200,181,0.905,19,84,0.67,695.97,88.205,6773,924.7053001308814,1852.130199666135,991.7615299919271,1.3302674621671353,48.88869999558665,3101.4364640883996,3098.1000000000017,1078.211655500054,3.5406427867505617,25438.479940565947,25631.121696389502,125.86580996985855,-177.44751943707615,0.37,8.219900002586655,308.0728210449516,0.32999999999999996,0.269-0.398,116.90000000000002,0.879747927419347,0.1981546862846653,9.271067373335868,0.0,0.0,0.0,7.35,93.25656918418612,1.0232260812440561,6.7,0.9531422656166788
random,prm,cycle+pred50,50.0,100.0,0.0,kinematic,0,200,200,181,0.905,19,127,0.55,141.605,16.06,1465,191.5869499061955,380.5415998212993,196.78956149335136,1.3106089603199726,54.06850000144914,3083.7569060773494,3083.800000000001,232.61319000128424,15.82219268473204,25438.479940565947,25576.359755634996,125.901631600511,-172.85732940191187,0.375,8.193099987693131,61.66643651380263,0.44999999999999996,0.383-0.519,156.60000000000002,0.8795076917841821,0.19819147857833955,7.879714682278116,0.0,0.0,0.0,4.83,256.9623432036718,0.5622990092873648,3.59,0.95429077233999
random,prm,cycle+pred150,150.0,20.0,0.0,kinematic,0,200,200,146,0.73,57,109,0.615,710.505,106.015,18721,1029.61494968622,2269.5777002954856,1154.6203970123315,1.5410339355485358,80.29860001988709,3536.301369863013,3423.7999999999993,1247.1973954996793,3.4968216569032897,25382.321427394603,26658.239102673997,235.6839406433659,-177.92842296452812,0.445,9.032050002133474,320.2905576306436,0.385,0.320-0.454,144.79999999999995,0.8902940591134034,0.21154643567465822,9.20031934119071,0.0,0.0,0.0,7.12,116.16255487753648,1.336336149723345,10.09,0.9322679264932464
random,prm,cycle+pred150,150.0,100.0,0.0,kinematic,0,200,200,146,0.73,57,136,0.535,144.445,20.465,3477,213.8159501046175,561.2441997218411,245.31190748879453,1.513931339231786,68.52090000757016,3512.739726027396,3425.9999999999995,285.4545654996764,15.032347958184246,25382.321427394603,26526.031975294467,235.70572361968698,-176.91467890216379,0.405,8.924950001528487,68.03460432081239,0.46499999999999997,0.397-0.534,185.30000000000004,0.89774514106445,0.21210277339430414,8.412053972242825,0.0,0.0,0.0,4.405,264.90410351056374,0.6600123371412998,4.82,0.9341954941577214
random,prm,event,0.0,20.0,0.0,kinematic,0,200,200,181,0.905,19,128,0.555,693.765,6.975,2680,91.60395021899603,203.46250021248125,103.06496202087146,0.1293751193343832,48.68529998930171,3123.425414364642,3132.5000000000005,184.04459100027452,18.67929899308682,25156.48849039393,24904.26527856658,125.8903191761072,-172.85732940191176,0.145,0.037649995647370815,32.58167188846009,0.44499999999999995,0.378-0.514,163.00000000000003,0.8659070721008633,0.020297528248077113,6.928934743763935,6.96,0.0,0.005,6.58,367.1140939821635,0.5321111098142604,2.93,0.978434649214766
random,prm,event,0.0,100.0,0.0,kinematic,0,200,200,181,0.905,19,209,0.385,140.415,3.985,834,57.81105029745959,110.8208998630289,59.0224249966559,0.41116071474829746,21.67119999649003,3131.049723756906,3122.1,93.71150150080211,37.268558638285306,25156.48849039393,24810.294694161108,125.89345668782505,-176.91467890216379,0.18,0.07800001185387373,18.71417169261132,0.615,0.546-0.680,227.40000000000003,0.9518230656260611,0.021785248003483,5.680374671486479,3.91,0.0,0.045,4.58,372.6193217029285,0.3319160214388234,1.735,0.9823121847398296
random,prm,event+pred50,50.0,20.0,0.0,kinematic,0,200,200,181,0.905,19,97,0.65,738.655,8.525,4673,109.29419979220256,224.558700050693,118.22419098360115,0.14725593220984978,31.58059998531826,3583.5359116022073,3571.5999999999976,207.58125000196742,18.4762051416125,25438.479940565947,26276.612197130817,125.89788922930252,-177.92842296452812,0.35,0.043199979700148106,33.099217853535784,0.35,0.287-0.418,139.59999999999982,0.8662135147445135,0.021839620261478652,7.096839362420774,8.255,0.0,0.14,7.23,408.10207242823196,0.6407215442346568,4.04,0.9332434637688612
