scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,status,completed,failed_plans,time_to_goal_ms,simulated_duration_ms,wall_time_ms,realtime_factor,planned_path_length_mm,travelled_distance_mm,straight_line_mm,mean_final_error_mm,max_final_error_mm,max_final_speed_mmps
random-s0-0088,visibility,cycle,50.0,100.0,30.0,1,0,completed,True,0,4339.9999999999945,4339.9999999999945,993.9236999925924,4.366532360615146,32615.12197217214,32465.70286880944,32590.85759992429,58.47286515431145,59.40579837855738,
random-s0-0088,visibility,cycle,150.0,20.0,30.0,1,0,completed,True,0,4639.999999999989,4639.999999999989,3128.766000008909,1.483012791620331,32673.537184603523,33241.41369936482,32590.85759992429,59.3013929370004,59.971230114319305,
random-s0-0088,visibility,cycle,150.0,100.0,30.0,1,0,completed,True,0,4419.999999999993,4419.999999999993,736.6661999985809,6.000003800918934,32673.537184603523,34440.00505962926,32590.85759992429,58.56209686363244,59.40579837855738,
random-s0-0088,visibility,event,0.0,20.0,30.0,1,0,completed,True,0,5219.999999999976,5219.999999999976,727.1539000066696,7.178672905353458,32603.453914069672,32415.772446115185,32590.85759992429,58.752413382748784,59.76619187502185,
random-s0-0088,visibility,event,0.0,100.0,30.0,1,0,completed,True,0,5279.999999999975,5279.999999999975,386.5399999922374,13.659647126056834,32603.453914069672,32510.46141613836,32590.85759992429,58.37714791787943,59.40579837855738,
random-s0-0088,visibility,event,50.0,20.0,30.0,1,0,completed,True,0,5219.999999999976,5219.999999999976,591.6091999970376,8.823392198813194,32615.12197217214,32489.764577249556,32590.85759992429,59.30830387630217,59.98587260726793,
random-s0-0088,visibility,event,50.0,100.0,30.0,1,0,completed,True,0,4979.999999999981,4979.999999999981,341.43220000260044,14.585619048121565,32615.12197217214,32547.388064919796,32590.85759992429,58.60020615819696,59.40579837855738,
random-s0-0088,visibility,event,150.0,20.0,30.0,1,0,completed,True,0,5259.999999999975,5259.999999999975,372.45149999216665,14.122644156650203,32673.537184603523,33796.076728185646,32590.85759992429,59.02438873875392,59.87286997615215,
random-s0-0088,visibility,event,150.0,100.0,30.0,1,0,completed,True,0,5299.999999999974,5299.999999999974,320.05999999819323,16.55939511350963,32673.537184603523,34611.0393638062,32590.85759992429,58.49314292753115,59.72737438866167,
random-s0-0089,voronoi,once,0.0,20.0,30.0,1,0,planning_failed,False,1,,7119.999999999936,38.04939999827184,187.1251583552781,26063.184692328923,25535.89415883081,25124.17675352827,421.36606456593927,2233.102151716307,
random-s0-0089,voronoi,cycle,0.0,20.0,30.0,1,0,planning_failed,False,1,,3280.0000000000023,553.8610000076005,5.922063477939395,26063.184692328923,25968.195256893232,25124.17675352827,421.3064773367029,2233.102151716307,
random-s0-0089,voronoi,cycle,0.0,100.0,30.0,1,0,planning_failed,False,1,,3940.000000000002,179.25620000460185,21.97971395075236,26063.184692328923,27465.10456535965,25124.17675352827,421.1209100882251,2233.102151716307,
