scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,collision_episodes,obstacle_collision_episodes,robot_collision_episodes,obstacle_episodes_obstacle_initiated,obstacle_episodes_robot_initiated,minimum_clearance_mm,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0001,visibility,cycle,50.0,100.0,30.0,1,0,0,0,0,0,0,31.696206900207898,285.5868915940905,31.696206900207898,0.0
random-s0-0001,visibility,cycle,150.0,20.0,30.0,1,0,0,0,0,0,0,30.052473450269105,285.58689159409045,30.052473450269105,0.0
random-s0-0001,visibility,cycle,150.0,100.0,30.0,1,0,0,0,0,0,0,31.696206900207898,285.5868915940905,31.696206900207898,0.0
random-s0-0001,visibility,event,0.0,20.0,30.0,1,0,0,0,0,0,0,30.282274197540715,285.58689159409045,30.282274197540715,0.0
random-s0-0001,visibility,event,0.0,100.0,30.0,1,0,0,0,0,0,0,30.282274197540687,285.5868915940905,30.282274197540687,0.0
random-s0-0001,visibility,event,50.0,20.0,30.0,1,0,0,0,0,0,0,30.282274197540715,266.8031711995168,30.282274197540715,0.0
random-s0-0001,visibility,event,50.0,100.0,30.0,1,0,0,0,0,0,0,30.282274197540687,285.5868915940905,30.282274197540687,0.0
random-s0-0001,visibility,event,150.0,20.0,30.0,1,0,0,0,0,0,0,30.282274197540715,235.58005911164275,30.282274197540715,0.0
random-s0-0001,visibility,event,150.0,100.0,30.0,1,0,0,0,0,0,0,30.282274197540687,285.5868915940905,30.282274197540687,0.0
random-s0-0002,voronoi,once,0.0,20.0,30.0,1,0,0,0,0,0,0,71.83932226669401,71.83932226669401,198.4286683453285,0.0
random-s0-0002,voronoi,cycle,0.0,20.0,30.0,1,0,0,0,0,0,0,41.46821665180386,41.46821665180386,62.82722671552912,0.0
random-s0-0002,voronoi,cycle,0.0,100.0,30.0,1,0,0,0,0,0,0,71.83932226669404,71.83932226669404,130.33511791827488,0.0
random-s0-0002,voronoi,cycle,50.0,20.0,30.0,1,0,0,0,0,0,0,71.83932226669413,71.83932226669413,154.7860104718062,0.0
random-s0-0002,voronoi,cycle,50.0,100.0,30.0,1,0,1,1,0,1,0,-0.2884434623902336,71.83932226669404,-0.2884434623902336,40.0
random-s0-0002,voronoi,cycle,150.0,20.0,30.0,1,0,0,0,0,0,0,27.590863631663098,71.83932226669413,27.590863631663098,0.0
random-s0-0002,voronoi,cycle,150.0,100.0,30.0,1,0,0,0,0,0,0,44.63936056368465,71.83932226669404,44.63936056368465,0.0
random-s0-0002,voronoi,event,0.0,20.0,30.0,1,0,0,0,0,0,0,71.83932226669413,71.83932226669413,130.45600659790648,0.0
random-s0-0002,voronoi,event,0.0,100.0,30.0,1,0,2,0,2,0,0,-53.225613694701295,-53.225613694701295,345.5812622110068,99.99999999999991
random-s0-0002,voronoi,event,50.0,20.0,30.0,1,0,0,0,0,0,0,71.83932226669413,71.83932226669413,101.72143333109652,0.0
random-s0-0002,voronoi,event,50.0,100.0,30.0,1,0,1,1,0,1,0,-82.09006084330252,37.131303834514,-82.09006084330252,559.9999999999999
random-s0-0002,voronoi,event,150.0,20.0,30.0,1,0,0,0,0,0,0,71.83932226669413,71.83932226669413,304.73110259502,0.0
random-s0-0002,voronoi,event,150.0,100.0,30.0,1,0,0,0,0,0,0,71.83932226669404,71.83932226669404,163.32952371503137,0.0
random-s0-0002,prm,once,0.0,20.0,30.0,1,0,1,1,0,0,1,-169.49725411087996,46.48404866217206,-169.49725411087996,320.0
random-s0-0002,prm,cycle,0.0,20.0,30.0,1,0,0,0,0,0,0,32.00446320865569,145.8554272482245,32.00446320865569,0.0
random-s0-0002,prm,cycle,0.0,100.0,30.0,1,0,1,1,0,1,0,-19.493698980486958,198.1982203831844,-19.493698980486958,139.99999999999991
random-s0-0002,prm,cycle,50.0,20.0,30.0,1,0,0,0,0,0,0,32.00446320865569,145.8554272482245,32.00446320865569,0.0
random-s0-0002,prm,cycle,50.0,100.0,30.0,1,0,0,0,0,0,0,74.6496161446299,198.1982203831844,74.6496161446299,0.0
random-s0-0002,prm,cycle,150.0,20.0,30.0,1,0,0,0,0,0,0,44.20763494501574,145.8554272482245,44.20763494501574,0.0
random-s0-0002,prm,cycle,150.0,100.0,30.0,1,0,0,0,0,0,0,60.53974948774439,114.29708681807313,60.53974948774439,0.0
random-s0-0002,prm,event,0.0,20.0,30.0,1,0,0,0,0,0,0,32.00446320865569,145.8554272482245,32.00446320865569,0.0
random-s0-0002,prm,event,0.0,100.0,30.0,1,0,1,1,0,1,0,-19.493698980486958,198.1982203831844,-19.493698980486958,139.99999999999991
random-s0-0002,prm,event,50.0,20.0,30.0,1,0,0,0,0,0,0,32.00446320865569,145.8554272482245,32.00446320865569,0.0
random-s0-0002,prm,event,50.0,100.0,30.0,1,0,0,0,0,0,0,74.6496161446299,198.1982203831844,74.6496161446299,0.0
random-s0-0002,prm,event,150.0,20.0,30.0,1,0,0,0,0,0,0,34.061211388783136,145.8554272482245,34.061211388783136,0.0
random-s0-0002,prm,event,150.0,100.0,30.0,1,0,0,0,0,0,0,79.87452699378349,198.1982203831844,79.87452699378349,0.0
random-s0-0002,visibility,once,0.0,20.0,30.0,1,0,1,1,0,0,1,-133.0127954559156,150.26542756792702,-133.0127954559156,420.0000000000001
random-s0-0002,visibility,cycle,0.0,20.0,30.0,1,0,0,0,0,0,0,22.606520691619124,139.76039984174122,22.606520691619124,0.0
random-s0-0002,visibility,cycle,0.0,100.0,30.0,1,0,0,0,0,0,0,26.96713222901297,140.0131593086873,26.96713222901297,0.0
