scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms,prediction_horizon_ms,planning_time_ms_p95_call,straight_line_mm
random-s0-0075,voronoi,1,0,completed,True,False,3,390,0,,19.71207000178765,0.050543769235352955,2516.6666666666624,36.01105699999607,69.88594271661998,151,0,0,0,12081.033652493912,12039.349902086025,59.52291558611612,59.82865235150227,270.5997376616924,20.0,kinematic,False,0,0.0,,,,random,event,2,0,0.0909530008357251,3.9744919999975536,2516.6666666666624,0.0,0.04680200026996317,12081.033652493912
random-s0-0075,voronoi,1,0,completed,True,False,3,418,0,,62.999252999816235,0.15071591626750294,2966.666666666661,81.39497900037895,36.44778465576911,178,0,0,0,13632.077727010872,13580.785206039553,59.48540233060792,59.785004207540624,62.09650341435588,20.0,kinematic,False,0,0.0,,,,random,event,19,8,3.9497170005233784,4.085433999989618,2966.666666666661,250.0,0.06429400036722654,12081.033652493912
random-s0-0075,prm,1,0,completed,True,False,3,3,0,,0.05100899988974561,0.017002999963248538,2520.000000000002,3.409211999951367,739.1737445591386,126,0,0,0,12081.033652493912,11905.683381518815,58.45009032503421,59.28534456986595,200.5126153169458,20.0,kinematic,False,0,0.0,,,,random,once,0,0,0.05100899988974561,0.020245000087015796,2520.000000000002,0.0,0.020245000087015796,12081.033652493912
random-s0-0075,prm,1,0,completed,True,False,3,388,0,,112.91118299777736,0.29100820360251894,2516.6666666666624,131.28564999988157,19.16939640142645,151,0,0,0,12081.033652493912,11992.596493360645,59.555822300442806,59.82829243593811,190.1800356580061,20.0,kinematic,False,0,0.0,,,,random,cycle,10,0,0.6494679996649211,6.820823999987624,2516.6666666666624,0.0,0.1889100003609201,12081.033652493912
random-s0-0075,prm,1,0,completed,True,False,3,413,0,,134.66678100439822,0.32606968766198113,2666.666666666662,154.1912540001249,17.294539070708264,160,1,0,1,12209.705367170554,12031.035320590156,58.74025296740853,59.58344528329138,-15.122617076424035,20.0,kinematic,False,0,0.0,,,,random,cycle,17,89,6.281112999658944,6.092397999964305,2666.666666666662,250.0,0.2345670000067912,12081.033652493912
random-s0-0075,prm,1,0,completed,True,False,3,389,0,,32.53454200239503,0.08363635476194095,2516.6666666666624,48.32094399989728,52.08231583124726,151,0,0,0,12081.033652493912,12004.74220677363,59.46352713004254,59.82829243593811,190.1800356580061,20.0,kinematic,False,0,0.0,,,,random,event,4,0,0.05862399984835065,7.058092000079341,2516.6666666666624,0.0,0.024587000098108547,12081.033652493912
random-s0-0075,prm,1,0,completed,True,False,3,413,0,,25.974290998874494,0.06289174575998667,2666.666666666662,43.01814700011164,61.989342931478234,160,1,0,1,12209.705367170554,12029.07534919248,58.82884292195655,59.58344528329138,-15.122617076424035,20.0,kinematic,False,0,0.0,,,,random,event,2,89,6.317825999758497,6.253215000015189,2666.666666666662,250.0,0.060213999859115575,12081.033652493912
random-s0-0075,visibility,1,0,completed,True,False,3,3,0,,0.05214300017541973,0.017381000058473244,2520.000000000002,3.160961000048701,797.2259069191857,126,0,0,0,12081.033652493912,11905.683381518815,58.45009032503421,59.28534456986595,200.5126153169458,20.0,kinematic,False,0,0.0,,,,random,once,0,0,0.05214300017541973,0.020439000309124822,2520.000000000002,0.0,0.020439000309124822,12081.033652493912
random-s0-0075,visibility,1,0,completed,True,False,3,389,0,,104.8272120024194,0.26947869409362313,2516.6666666666624,122.16004199990493,20.60138999189785,151,0,0,0,12081.033652493912,11906.057526167742,59.638215967780134,59.9586578072712,277.82393351327283,20.0,kinematic,False,0,0.0,,,,random,cycle,9,0,0.21412900014183833,9.58491099981984,2516.6666666666624,0.0,0.08333300002050237,12081.033652493912
random-s0-0075,visibility,1,0,completed,True,False,3,544,0,,1127.1934959972896,2.0720468676420762,4183.333333333324,1153.9265219998924,3.625303044498109,251,0,0,0,12091.917324217364,12889.84944487974,58.55953379976406,59.20499298462519,157.5679821594664,20.0,kinematic,False,0,0.0,,,,random,cycle,120,175,9.100626000417833,11.168809000082547,4183.333333333324,250.0,9.346361000098113,12081.033652493912
