scenario,planner,replan_policy,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm,near_miss_free_rate,call_time_ms_p95_median,planning_ms_per_sim_s_mean,path_efficiency_mean
crowded,voronoi,cycle+pred250,kinematic,0,1,1,0,0.0,0,0,1.0,2191.0,1944.0,42,9877.291641010743,9877.291641010743,9877.291641010743,4.508120329078386,21.41738299997087,,30000.0,10004.006457999822,2.9987985439583706,22854.683707277938,29263.268379206624,811.9803571835,1.0996872042449297,0.0,5.340215000160242,329.2430547003581,0.13835551187980533
crowded,voronoi,event,kinematic,0,1,1,1,1.0,0,0,1.0,869.0,1.0,0,48.616155999752664,48.616155999752664,48.616155999752664,0.055944943613064055,5.041854999944917,7233.333333333313,7233.333333333313,80.45923099962238,89.90060237298641,22854.683707277938,15997.304705966224,59.35055152979216,0.21560021166931165,0.0,0.05241799999566865,6.7211275575695115,0.25308853899440137
crowded,voronoi,event+pred250,kinematic,0,1,1,1,1.0,0,0,1.0,1365.0,25.0,14,240.93820199459515,240.93820199459515,240.93820199459515,0.1765115032927437,8.929448999879241,10150.000000000084,10150.000000000084,290.94280899971636,34.886581438106546,22854.683707277938,29672.066260557393,59.210486736532594,0.6215733208211702,0.0,0.058166000144410646,23.737753891092922,0.1364493608341382
crowded,prm,once,kinematic,0,1,1,1,1.0,0,1,0.0,3.0,0.0,0,22.632632999830093,22.632632999830093,22.632632999830093,7.544210999943364,8.179011999800423,4020.0000000000023,4020.0000000000023,26.37903599998026,152.3937417577735,11572.025797384194,10707.244565540983,58.17190314546332,-77.87559992016375,0.0,8.179011999800423,5.6300082089129555,0.3781303818268292
crowded,prm,cycle,kinematic,0,1,1,1,1.0,0,1,0.0,492.0,117.0,127,952.5234129991986,952.5234129991986,952.5234129991986,1.9360231971528428,13.82624300003954,3199.9999999999936,3199.9999999999936,974.8503859996163,3.282554990957611,11572.025797384194,9315.625190579816,59.042311574605925,-146.4457630709677,0.0,7.724569999936648,297.6635665622502,0.43461757993177214
crowded,prm,cycle+pred250,kinematic,0,1,1,1,1.0,0,0,1.0,487.0,118.0,149,817.6762749985755,817.6762749985755,817.6762749985755,1.679006724843071,9.844264000093972,3133.333333333327,3133.333333333327,839.1645330002575,3.7338724530346252,11572.025797384194,13382.26230545728,59.29283723918044,3.7273304239879224,0.0,7.192915999894467,260.96051329741823,0.3025448450692961
crowded,prm,event,kinematic,0,1,1,1,1.0,0,0,1.0,592.0,2.0,0,49.38461999927313,49.38461999927313,49.38461999927313,0.08341996621498839,7.927915999971447,3449.9999999999927,3449.9999999999927,69.23877500003073,49.82757132832667,11572.025797384194,10301.17920758282,59.126888786732536,1.0375197860678895,0.0,0.031148999823926715,14.314382608484994,0.3930360198860468
crowded,prm,event+pred250,kinematic,0,1,1,1,1.0,0,0,1.0,771.0,6.0,96,81.51361599993834,81.51361599993834,81.51361599993834,0.10572453437086685,8.03762200030178,4983.333333333321,4983.333333333321,109.08628700008194,45.68249108459965,11572.025797384194,16861.46805967498,58.929815038958715,1.141081594341955,0.0,0.06617899998673238,16.3572473578472,0.24011755450665645
crowded,visibility,once,kinematic,0,1,1,1,1.0,0,5,0.0,3.0,0.0,0,20.66647899982854,20.66647899982854,20.66647899982854,6.888826333276181,7.0275010002660565,3860.000000000003,3860.000000000003,24.351300000034826,158.51309786313186,5743.219306469773,5280.735605845488,59.00240487780443,-61.71843201044736,0.0,7.0275010002660565,5.354010103582519,0.7666989559938437
crowded,visibility,cycle,kinematic,0,1,1,1,1.0,0,4,0.0,586.0,262.0,166,1795.8251489981194,1795.8251489981194,1795.8251489981194,3.0645480358329684,11.032336999960535,3899.999999999991,3899.999999999991,1821.3479109999753,2.141271294982172,5743.219306469773,5290.742579978614,58.7660369065567,-58.33154602111412,0.0,7.195751999915956,460.4679869225958,0.7652488123694763
