planner,policy,pred,period,n,cf,coll_prob_ci,completed,contact_ms,replans,plan_ms,rebuild_share,check_ms,rebuild_ms,blocked,later,finished,other,shift,turn_per_m,sharp,min_rr,min_ro,ttg,eff
voronoi,cycle,50.0,100,191,63.87434554973822,30-43,100.0,135.28795811518324,25.387434554973822,107.82926799947744,0.9360692619357608,0.06072166012677161,3.445842253711618,0.0,0.0,0.0,0.0,232.24142873532716,0.9292888565626682,5.9319371727748695,144.19631665990136,43.17201565724986,3.2800000000000016,0.9286338937276429
voronoi,cycle,150.0,20,191,83.7696335078534,12-22,100.0,70.15706806282662,211.3193717277487,779.6877849900739,0.9265802885888496,0.09650904296160734,3.417771567986238,0.0,0.0,0.0,0.0,101.28566453041162,3.411762403726455,24.952879581151834,219.6989005519747,80.42176895900582,3.820000000000002,0.8771989070281245
voronoi,cycle,150.0,100,191,68.58638743455498,25-38,100.0,108.58638743455498,43.230366492146594,165.24601100309155,0.9303645647470675,0.09722772481530291,3.212922473040475,0.0,0.0,0.0,0.0,239.97415138300633,1.7635748074530582,13.75392670157068,179.58509525247325,94.61799020749709,3.9400000000000017,0.8673958918400948
voronoi,event,0.0,20,191,49.73821989528796,43-57,100.0,157.6963350785338,10.973821989528796,63.18329099667608,0.5671470196861892,0.041451556807548195,2.316721634789083,10.75392670157068,0.21465968586387435,0.0,0.005235602094240838,370.30352702868305,0.6918700360141439,3.884816753926702,72.54432398490903,3.335452686435474,3.3000000000000025,0.9519323536791416
voronoi,event,0.0,100,191,37.696335078534034,55-69,100.0,229.4240837696335,6.109947643979058,30.63102699843512,0.8056155575230506,0.04445380611107964,2.12473165111298,6.0680628272251305,0.041884816753926704,0.0,0.0,363.5435248623876,0.5705676946257575,3.5916230366492146,44.78292475140401,1.1481312332253708,3.2800000000000016,0.9521588371627243
voronoi,event,50.0,20,191,69.10994764397905,25-38,100.0,125.34031413612527,21.649214659685864,80.43494399544215,0.6002326907759291,0.045415943713896734,1.8740177856430678,19.86387434554974,1.5863874345549738,0.0,0.19895287958115182,267.3778728875876,0.9515099004812594,5.5863874345549736,156.19384926863978,38.23761512677896,3.5800000000000027,0.9296794562756195
voronoi,event,50.0,100,191,57.59162303664922,36-49,100.0,180.31413612565444,8.6282722513089,36.176495995277946,0.8169413759130458,0.04998986773019344,2.2323505060784585,8.089005235602095,0.418848167539267,0.0,0.12041884816753927,359.7406130334961,0.7088422454005155,4.7486910994764395,118.22752988272975,34.11660739460743,3.580000000000002,0.9260626055741639
voronoi,event,150.0,20,191,73.29842931937172,21-33,100.0,118.53403141361083,65.61256544502618,128.66978399961226,0.6483641325242936,0.06038482294638337,1.3057491250190658,58.54973821989529,6.303664921465969,0.0,0.7591623036649214,144.62485275409324,2.0048206462613756,14.952879581151832,198.59637145167125,72.07207360204063,4.6199999999999894,0.8656872088676024
voronoi,event,150.0,100,191,67.5392670157068,26-39,100.0,117.4869109947644,21.041884816753928,56.1059889992066,0.8254796443492779,0.069648769832874,1.8982391366899074,18.340314136125656,2.2408376963350785,0.0,0.4607329842931937,274.6011629065865,1.3937442809783087,11.073298429319372,161.4858269386886,73.91707990864217,4.419999999999993,0.8683231930371519
voronoi,once,0.0,20,191,7.329842931937172,88-96,100.0,700.8376963350788,0.0,8.62209500019162,1.0,0.0,1.2851365846344844,0.0,0.0,0.0,0.0,,0.19259570771510298,0.5026178010471204,-62.07313560651792,-111.17199634432126,6.5399999999999485,0.9286257149500862
