scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,collision_episodes,obstacle_collision_episodes,robot_collision_episodes,minimum_clearance_mm,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0004,visibility,cycle,50.0,20.0,0.0,1,0,0,0,0,17.8226854979589,65.10932302363972,17.8226854979589,0.0
random-s0-0004,visibility,cycle,50.0,100.0,0.0,1,0,1,0,1,-144.61272785470263,-144.61272785470263,52.822788153482776,259.99999999999966
random-s0-0004,visibility,cycle,150.0,20.0,0.0,1,0,1,1,0,-25.995819636867367,172.9288893419347,-25.995819636867367,199.99999999999997
random-s0-0004,visibility,cycle,150.0,100.0,0.0,1,0,1,1,0,-25.995819636867367,61.13814098722642,-25.995819636867367,199.99999999999997
random-s0-0004,visibility,event,0.0,20.0,0.0,1,0,2,1,1,-164.67191949704494,-164.67191949704494,-86.10840907132064,720.0000000000003
random-s0-0004,visibility,event,0.0,100.0,0.0,1,0,2,2,0,-74.3650120173452,17.010804726159705,-74.3650120173452,440.0000000000001
random-s0-0004,visibility,event,50.0,20.0,0.0,1,0,0,0,0,37.88472322469471,116.63322114085965,37.88472322469471,0.0
random-s0-0004,visibility,event,50.0,100.0,0.0,1,0,1,0,1,-144.61272785470263,-144.61272785470263,69.92601085446253,259.99999999999966
random-s0-0004,visibility,event,150.0,20.0,0.0,1,0,2,2,0,-25.995819636867367,78.74471944341877,-25.995819636867367,420.0000000000001
random-s0-0004,visibility,event,150.0,100.0,0.0,1,0,1,1,0,-25.995819636867367,119.64482356915435,-25.995819636867367,199.99999999999997
