scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,replan_count,replan_failures,replan_attempts,blocked_ms,blocked_time_pct,any_replan_failure,rebuild_calls,check_calls,planner_calls,planning_time_ms_total,planning_time_ms_initial,planning_time_ms_max_call,planning_time_ms_p95_call,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_blocked,replans_route_finished,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns
random-s0-0000,visibility,cycle,0.0,20.0,0.0,1,0,38,23,61,460.0,17.69230769230768,True,44,620,664,502.0211279934301,16.33327199897394,18.49925800024721,11.16664800019862,456.093980001242,45.92714799218811,0,0,0,38,0,4,32.011919889377225,219.8711761042628,0.0752586340406408,0
random-s0-0000,visibility,cycle,0.0,100.0,0.0,1,0,7,4,11,400.0,15.26717557251908,True,13,123,136,105.58767799875568,12.102782000056322,14.987893999659718,11.131744000067556,96.5814639994278,9.006213999327883,0,0,0,7,0,3,86.06295228110483,200.35096611872407,0.0467783924885356,0
random-s0-0000,visibility,cycle,50.0,20.0,0.0,1,0,63,37,100,740.0,28.03030303030301,True,69,599,668,756.4753029982967,11.83715899969684,34.380028000214224,10.827300000073592,720.8211199990728,35.65418299922385,0,0,0,63,0,5,37.98385266242597,380.7606328897418,0.1445736500463292,0
random-s0-0000,visibility,cycle,50.0,100.0,0.0,1,0,11,7,18,700.0,26.3157894736842,True,17,119,136,138.13442999935432,11.77160599945637,12.063273999956436,10.873321999952168,131.3355329998558,6.798896999498538,0,0,0,11,0,4,141.10217444155714,362.98223454211984,0.1115713491224387,0
random-s0-0000,visibility,cycle,150.0,20.0,0.0,1,0,31,145,176,2900.0,103.5714285714285,True,37,661,698,343.3609969979443,11.338912000610437,13.72218200003772,0.13494900031219,302.6148959988859,40.7461009990584,0,0,0,31,0,5,80.87771896571643,482.6591980890592,0.2247181234726671,0
random-s0-0000,visibility,cycle,150.0,100.0,0.0,1,0,5,27,32,2700.0,93.74999999999996,True,11,132,143,65.85410000070624,11.347017000389314,11.054613999931462,0.1132580000557936,58.30008400107545,7.554015999630792,0,0,0,5,0,4,345.26944756546084,482.6591980890592,0.2001368068834015,0
random-s0-0000,visibility,event,0.0,20.0,0.0,1,0,9,22,31,440.0,16.417910447761184,True,15,652,667,128.7996609989932,11.843180999676406,13.468189999912283,0.0427520003540848,116.959501999645,11.840158999348205,9,0,0,0,0,4,71.41976847171857,213.0309029515141,0.056647609442697,0
random-s0-0000,visibility,event,0.0,100.0,0.0,1,0,4,4,8,400.0,14.925373134328353,True,10,126,136,61.387355000988464,11.989786000413003,12.211472000217327,0.0586700002713769,59.04333100079384,2.344024000194622,4,0,0,0,0,3,85.26199890494041,200.35096611872407,0.036633540688659,0
random-s0-0000,visibility,event,50.0,20.0,0.0,1,0,15,39,54,780.0,27.08333333333331,True,21,659,680,191.16976900477312,12.147827000262623,12.197615999866684,0.0550290001228859,177.02409599996827,14.145673004804848,15,0,0,0,0,5,92.6232824240606,380.7606328897418,0.1194694369665917,0
random-s0-0000,visibility,event,50.0,100.0,0.0,1,0,5,9,14,900.0,31.690140845070406,True,11,127,138,69.06322200120485,11.634801000582229,11.51184300033492,0.0803779998932441,66.4758820012139,2.587339999990945,5,0,0,0,0,4,183.06615563357408,226.74461381875943,0.0913066929886671,0
random-s0-0000,visibility,event,150.0,20.0,0.0,1,0,8,134,142,2680.0,69.07216494845355,True,14,713,727,111.13192699394858,11.21426999952746,14.514780000354222,0.0586099999964062,92.76595099981932,18.365975994129258,8,0,0,0,0,5,198.8151457888312,487.77626558039054,0.1903157150513857,0
random-s0-0000,visibility,event,150.0,100.0,0.0,1,0,5,21,26,2100.0,68.62745098039213,True,11,135,146,62.190491000365,11.198517000138963,11.114703999737683,0.0855260000207636,58.76125699978729,3.429234000577708,5,0,0,0,0,4,369.1699423757621,482.6591980890592,0.2243363837235105,0
random-s0-0001,voronoi,once,0.0,20.0,0.0,1,0,0,0,0,0.0,0.0,False,6,0,6,9.188424000512896,9.188424000512896,4.726013999970746,4.726013999970746,9.188424000512896,0.0,0,0,0,0,0,0,0.0,0.0,0.1169808850708649,0
random-s0-0001,voronoi,cycle,0.0,20.0,0.0,1,0,104,2,106,40.0,1.3245033112582771,True,110,653,763,488.12556400253015,8.63989499885065,5.587519000073371,4.324945999996999,459.9050189990521,28.22054500347804,0,0,0,104,0,9,103.94924908525029,731.6276324905228,1.0048407601302725,4
random-s0-0001,voronoi,cycle,0.0,100.0,0.0,1,0,18,0,18,0.0,0.0,False,24,130,154,90.13214200331277,8.911437000278966,4.50720300023022,4.333006000251771,86.07304100178226,4.059101001530507,0,0,0,18,0,5,240.15945130708505,735.5736837098552,0.3753826510382214,2
