scenario,planner,replan_policy,backend,physics_validation_passes,runs,scenario_count,completed_runs,completion_rate,failed_plans,collision_episodes,collision_free_rate,planner_calls_mean,replans_mean,replan_failures,planning_time_ms_median,planning_time_ms_p95,planning_time_ms_mean,call_time_ms_median,call_time_ms_max,time_to_goal_ms_mean,simulated_duration_ms_mean,wall_time_ms_mean,realtime_factor_mean,planned_path_length_mm_mean,travelled_distance_mm_mean,mean_final_error_mm,minimum_clearance_mm
crowded,visibility,once,kinematic,0,1,1,1,1.0,0,5,0.0,3.0,0.0,0,21.747504000018125,21.747504000018125,21.747504000018125,7.2491680000060414,8.113469000022633,3860.000000000003,3860.000000000003,25.278401000036865,152.6995319045051,5743.219306469773,5280.735605845488,59.00240487780443,-61.71843201044736
crowded,visibility,cycle,kinematic,0,1,1,1,1.0,0,4,0.0,586.0,262.0,166,1777.783137998881,1777.783137998881,1777.783137998881,3.0337596211585,14.968225999950846,3899.999999999991,3899.999999999991,1799.3277540000463,2.167476153985835,5743.219306469773,5290.742579978614,58.7660369065567,-58.33154602111412
crowded,visibility,event,kinematic,0,1,1,1,1.0,0,5,0.0,654.0,57.0,135,427.9766909992304,427.9766909992304,427.9766909992304,0.6543986100905664,11.209539999981644,3899.999999999991,3899.999999999991,448.45024899996133,8.696616868196514,5743.219306469773,5356.468187189867,58.87909972771442,-58.33154602111412
crowded~perturbed,voronoi,once,kinematic,0,20,20,18,0.9,2,15,0.45,3.0,0.0,0,14.395389999947383,14.857684000048721,14.419188650015258,4.798463333315794,5.099094000001969,9376.666666666555,9241.999999999893,22.5645087000089,406.40157106696245,22687.644296904164,21558.823626679456,90.35258335871569,-145.64863865378084
crowded~perturbed,voronoi,cycle,kinematic,0,20,20,16,0.8,2,398,0.8,652.35,319.6,49,1043.3173574997454,9161.362312998222,1477.3343568499683,2.0735096240995974,20.877307999967343,3392.708333333326,5955.833333333327,1503.7562105500172,4.193251679566416,22687.644296904164,12494.52769954034,128.68864471599647,-3.1876774167123756
crowded~perturbed,voronoi,event,kinematic,0,20,20,16,0.8,2,0,1.0,988.8,47.7,15,54.85114799779467,3133.0922279989863,276.72999430027403,0.06418209392221819,9.414515999992545,6891.666666666661,9038.333333333327,311.7389861000049,76.75064792082006,22687.644296904164,16880.79489082373,92.80031556699409,0.05489793907375429
crowded~perturbed,prm,once,kinematic,0,20,20,15,0.75,5,32,0.1,3.0,0.0,0,21.272606500076563,26.232174000028863,20.0366031499982,7.090868833358854,12.179111000023113,4179.999999999997,4152.999999999998,23.801101449987527,178.15199103699965,10679.526705567852,9842.543224512143,147.20978698309983,-168.2500662424487
crowded~perturbed,prm,cycle,kinematic,0,20,20,15,0.75,5,1,0.95,389.55,155.15,549,1124.0611735009907,2078.2256499998084,1184.5460887502554,2.9739302863279886,36.040829000057784,3051.111111111105,2972.499999999994,1200.7909055500022,2.5909767466322164,10679.526705567852,7596.912252214793,147.49889730621607,-148.13548380958184
crowded~perturbed,prm,event,kinematic,0,20,20,15,0.75,5,0,1.0,557.65,4.05,52,57.310746499240395,95.8342370003038,60.906742649683565,0.1119830241257578,14.03101300002163,4007.7777777777683,3965.833333333324,78.2601798499968,56.78053254867884,10679.526705567852,9308.999090823276,147.35541847487772,0.06864008647394826
crowded~perturbed,visibility,once,kinematic,0,20,20,15,0.75,5,112,0.0,3.0,0.0,0,20.810228999891933,36.06605999993917,20.432267049994834,6.936742999963977,28.297393999991982,3716.0000000000023,3687.0000000000023,23.83817274999842,160.4996910209357,4789.4571763679,4410.708524120499,147.24551831161614,-173.9718607930069
crowded~perturbed,visibility,cycle,kinematic,0,20,20,15,0.75,5,102,0.0,534.7,237.9,3341,1688.8516730007268,2422.47947700082,1661.398357950145,3.1093922822378444,19.727650000049834,3712.222222222214,3674.1666666666583,1681.7821413999923,2.263898577359226,4789.4571763679,4582.745463027183,147.40304596316201,-172.20927277353582
crowded~perturbed,visibility,event,kinematic,0,20,20,15,0.75,5,98,0.0,581.25,50.95,3164,351.6261114999679,624.6287579988348,381.7983419497182,0.6398102768476325,13.145022000003337,4035.5555555555466,3962.4999999999914,400.55561670000657,10.945821526607542,4789.4571763679,4681.165485763586,147.50470710051542,-157.0360970453352
snapshot_1787566435,voronoi,once,kinematic,0,1,1,1,1.0,0,0,1.0,3.0,0.0,0,13.440672000001541,13.440672000001541,13.440672000001541,4.480224000000514,4.559146000019609,5979.999999999961,5979.999999999961,18.76467199997478,318.68396100971006,14135.051375600542,13344.563131450486,58.1445406143314,114.65139913895848
snapshot_1787566435,voronoi,cycle,kinematic,0,1,1,1,1.0,0,0,1.0,366.0,53.0,0,260.8966299998201,260.8966299998201,260.8966299998201,0.7128323224038801,8.942559000047368,2283.3333333333303,2283.3333333333303,272.70704600005047,8.372843191345,14135.051375600542,8099.158183936807,58.862026339072116,8.387805821580287
snapshot_1787566435,voronoi,event,kinematic,0,1,1,1,1.0,0,0,1.0,428.0,0.0,0,26.716606001059517,26.716606001059517,26.716606001059517,0.062421976637989526,4.509882000093057,2683.3333333333285,2683.3333333333285,39.694465999900785,67.59968337500838,14135.051375600542,9182.978664993174,59.12295921233277,1.9783441292636041
snapshot_1787566435,prm,once,kinematic,0,1,1,1,1.0,0,0,1.0,3.0,0.0,0,19.584758999940277,19.584758999940277,19.584758999940277,6.528252999980093,6.703044999994745,3520.0000000000027,3520.0000000000027,22.826497999972162,154.206746913359,11164.864366004127,10460.874719914777,58.68439083011279,15.17613183107261
snapshot_1787566435,prm,cycle,kinematic,0,1,1,1,1.0,0,0,1.0,374.0,83.0,10,591.4506790004452,591.4506790004452,591.4506790004452,1.581418927808677,7.071992999954091,2466.666666666663,2466.666666666663,606.0220139999046,4.070259181487508,11164.864366004127,8274.935337140094,58.620616001573644,2.8744813368030293
snapshot_1787566435,prm,event,kinematic,0,1,1,1,1.0,0,0,1.0,430.0,4.0,0,55.69710799909444,55.69710799909444,55.69710799909444,0.12952815813742893,7.006571000033546,2549.999999999996,2549.999999999996,68.54293499998221,37.202958992063266,11164.864366004127,9898.644705962084,59.12796935894057,2.8744813368030293
snapshot_1787566435,visibility,once,kinematic,0,1,1,1,1.0,0,3,0.0,3.0,0.0,0,35.443795999981376,35.443795999981376,35.443795999981376,11.814598666660459,14.748030999953698,3420.0000000000027,3420.0000000000027,38.61171500000182,88.57415424307989,7313.070734352056,7117.808209382201,58.4536958529871,-16.808778806619358
snapshot_1787566435,visibility,cycle,kinematic,0,1,1,1,1.0,0,4,0.0,549.0,309.0,23,2989.094312000816,2989.094312000816,2989.094312000816,5.44461623315267,13.869372999920415,3499.9999999999923,3499.9999999999923,3011.5834590000077,1.162179314519865,7313.070734352056,7239.7551338365665,59.08126200584604,-36.03397531216211
snapshot_1787566435,visibility,event,kinematic,0,1,1,1,1.0,0,1,0.0,519.0,38.0,2,402.5910599998497,402.5910599998497,402.5910599998497,0.7757053179187855,10.35003999993478,3299.999999999993,3299.999999999993,418.6992290000262,7.881552607300804,7313.070734352056,7130.123261753748,58.45407626467851,-5.335646430264006
snapshot_1787566435~perturbed,voronoi,once,kinematic,0,20,20,20,1.0,0,5,0.75,3.0,0.0,0,13.661316500019893,15.102149000085774,13.547238550006568,4.553772166673298,5.2391329999181835,5112.999999999979,5112.999999999979,18.23500484999272,281.6459543670125,13226.595981125905,12480.248580246867,58.96335302690123,-79.86201434435607
