scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms
22.11.24.08.2026~p000,prm,1,0,completed,True,False,3,3,0,,18.518494999966606,6.172831666655536,4219.999999999998,22.30697799996051,189.178471418561,211,0,0,0,13533.021845406074,12660.998126030454,58.59153008956133,59.565378226457746,19.554558205551416,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,18.518494999966606,6.281113999989429,4219.999999999998
22.11.24.08.2026~p000,prm,1,0,completed,True,False,3,418,0,,501.6943020018516,1.2002256028752432,2899.9999999999945,517.2494360000428,5.6065793370913495,174,1,0,1,13533.021845406074,10602.726634813513,59.682906313884466,59.84914906861402,-62.84177412465375,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,72,10,18.056015000070147,6.567517999997108,2899.9999999999945
22.11.24.08.2026~p000,prm,1,0,completed,True,False,3,389,0,,43.587496999521136,0.1120501208213911,2399.9999999999964,54.95225799995751,43.67427449481425,144,0,0,0,13533.021845406074,10350.911551801033,58.94142840687021,59.46824346028187,1.1191933662296663,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,3,0,18.211796000173308,6.489487000067129,2399.9999999999964
22.11.24.08.2026~p000,visibility,1,0,completed,True,False,3,3,0,,33.10276799993517,11.03425599997839,3220.0000000000023,35.9959270000445,89.45456523445058,161,0,3,3,7377.231249892962,7167.267405024973,58.417793884182664,59.10713858656402,-29.674798273494815,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,33.10276799993517,11.473670999976093,3220.0000000000023
22.11.24.08.2026~p000,visibility,1,0,completed,True,False,3,495,0,,1963.9767260007375,3.967629749496439,3233.3333333333267,1982.3962889998938,1.6310226927253393,194,0,4,4,7377.231249892962,7176.669353131539,59.73159422639187,59.92207494835191,-29.40399006172217,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,171,55,33.90667200005737,28.063173000077768,3233.3333333333267
22.11.24.08.2026~p000,visibility,1,0,completed,True,False,3,496,0,,388.0338960017298,0.7823264032292939,3233.3333333333267,403.30849399992985,8.017022654955264,194,0,3,3,7377.231249892962,7164.338647727404,59.38472313420433,59.778184297408416,-29.40399006172217,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,31,43,33.09458599994741,12.182263999989118,3233.3333333333267
22.11.24.08.2026~p001,voronoi,1,0,completed,True,False,3,3,0,,13.816351999821563,4.6054506666071875,5159.999999999978,18.393604000038977,280.5322980743221,258,0,0,0,12927.99141816327,12053.87350703932,58.312744517902644,59.44433469952464,110.44716622973885,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,13.816351999821563,4.677759999935915,5159.999999999978
22.11.24.08.2026~p001,voronoi,1,0,completed,True,False,3,382,0,,305.0122999981113,0.798461518319663,2449.9999999999964,317.91990699991857,7.7063434722275,147,0,0,0,12927.99141816327,7956.588724174109,59.37762604967377,59.65998847883375,1.0682204810291296,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,62,0,13.397344000054545,5.331322999950316,2449.9999999999964
22.11.24.08.2026~p001,voronoi,1,0,completed,True,False,3,424,0,,40.700554000750344,0.09599187264327912,3066.6666666666606,53.94201100000373,56.85117424833213,184,0,0,0,12927.99141816327,8806.452275908181,59.10530405891446,59.74473089633029,1.0682204810291296,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,2,1,13.684973000067657,4.86294999996062,3066.6666666666606
22.11.24.08.2026~p001,prm,1,0,completed,True,False,3,3,0,,20.157197999992604,6.719065999997535,3900.000000000003,23.59151199993903,165.31369417992718,195,0,0,0,10183.187866569031,9624.045578920026,58.6273245923573,58.89725400578355,2.52760622612675,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,20.157197999992604,6.909417999963807,3900.000000000003
22.11.24.08.2026~p001,prm,1,0,completed,True,False,3,375,0,,661.4627510001583,1.7639006693337553,2516.6666666666624,676.3029400000278,3.721212074971253,151,0,0,0,10183.187866569031,8100.609055135446,58.559653822492244,59.15823567824725,3.27569330301111,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,88,7,22.223627000016677,11.129907999929856,2516.6666666666624
22.11.24.08.2026~p001,prm,1,0,completed,True,False,3,387,0,,61.95295500026532,0.16008515503944526,2499.999999999996,73.52417200002037,34.002423039858286,150,0,0,0,10183.187866569031,8221.533135852103,58.84303974615458,59.22109737406641,3.6543723175865352,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,5,7,20.3205599998455,7.119641000031152,2499.999999999996
22.11.24.08.2026~p001,visibility,1,0,completed,True,False,3,3,0,,34.16114399988146,11.387047999960487,3880.000000000003,37.62478100009048,103.1235238283692,194,0,3,3,7164.684306236135,6962.98550421738,58.95371108616098,59.63480970857216,-22.51300048077246,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,once,0,0,34.16114399988146,11.46153099989533,3880.000000000003
22.11.24.08.2026~p001,visibility,1,0,completed,True,False,3,499,0,,2316.888819000269,4.643063765531601,3883.3333333333244,2337.808521999932,1.6610998278042197,233,0,3,3,7164.684306236135,6990.560267852632,59.54551505036145,59.97592150430743,-19.92826738636191,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,cycle,202,28,33.39109400008056,33.58614100000068,3883.3333333333244
22.11.24.08.2026~p001,visibility,1,0,completed,True,False,3,515,0,,480.77835400101776,0.9335502019437238,3883.3333333333244,497.6373740000781,7.803540361365051,233,0,2,2,7164.684306236135,6974.413492975487,58.73049346335127,59.2919199476118,-19.92826738636191,20.0,kinematic,False,0,0.0,,,,22.11.24.08.2026~perturbed,event,39,23,35.00839699995595,13.42665799995757,3883.3333333333244
