scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,collision_episodes,obstacle_collision_episodes,robot_collision_episodes,obstacle_episodes_obstacle_initiated,obstacle_episodes_robot_initiated,minimum_clearance_mm,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0001,prm,event,0.0,50.0,30.0,1,0,0,0,0,0,0,31.077275805624936,42.404340314997285,31.077275805624936,0.0
random-s0-0001,prm,event,0.0,100.0,30.0,1,0,1,0,1,0,0,-2.2991035332256047,-2.2991035332256047,31.143665635299698,40.0
random-s0-0001,prm,event,50.0,20.0,30.0,1,0,0,0,0,0,0,31.143665635299755,122.84368463047002,31.143665635299755,0.0
random-s0-0001,prm,event,50.0,50.0,30.0,1,0,0,0,0,0,0,31.077275805624936,114.38617037848434,31.077275805624936,0.0
random-s0-0001,prm,event,50.0,100.0,30.0,1,0,1,0,1,0,0,-71.44745536162017,-71.44745536162017,31.143665635299698,40.0
random-s0-0001,prm,event,100.0,20.0,30.0,1,0,0,0,0,0,0,36.68259587063724,131.52648335812376,36.68259587063724,0.0
random-s0-0001,prm,event,100.0,50.0,30.0,1,0,0,0,0,0,0,39.92791158080715,194.91394558416164,39.92791158080715,0.0
random-s0-0001,prm,event,100.0,100.0,30.0,1,0,0,0,0,0,0,39.970696280793845,270.343574165864,39.970696280793845,0.0
random-s0-0001,visibility,once,0.0,20.0,30.0,1,0,2,1,1,0,1,-147.90576513644925,-55.785052412195625,-147.90576513644925,160.0
random-s0-0001,visibility,cycle,0.0,20.0,30.0,1,0,0,0,0,0,0,30.49592801661393,285.58689159409045,30.49592801661393,0.0
random-s0-0001,visibility,cycle,0.0,50.0,30.0,1,0,0,0,0,0,0,30.243335890074093,285.5868915940902,30.243335890074093,0.0
random-s0-0001,visibility,cycle,0.0,100.0,30.0,1,0,0,0,0,0,0,31.696206900207898,285.5868915940905,31.696206900207898,0.0
random-s0-0001,visibility,cycle,50.0,20.0,30.0,1,0,0,0,0,0,0,30.49017085162174,299.5567872690765,30.49017085162174,0.0
random-s0-0001,visibility,cycle,50.0,50.0,30.0,1,0,0,0,0,0,0,30.841927359751537,287.95982990823813,30.841927359751537,0.0
random-s0-0001,visibility,cycle,50.0,100.0,30.0,1,0,0,0,0,0,0,31.696206900207898,285.5868915940905,31.696206900207898,0.0
random-s0-0001,visibility,cycle,100.0,20.0,30.0,1,0,0,0,0,0,0,30.392213350182544,303.73009938970534,30.392213350182544,0.0
random-s0-0001,visibility,cycle,100.0,50.0,30.0,1,0,0,0,0,0,0,30.6141185367172,285.5868915940902,30.6141185367172,0.0
random-s0-0001,visibility,cycle,100.0,100.0,30.0,1,0,0,0,0,0,0,31.696206900207898,285.5868915940905,31.696206900207898,0.0
random-s0-0001,visibility,event,0.0,20.0,30.0,1,0,0,0,0,0,0,30.282274197540715,285.58689159409045,30.282274197540715,0.0
random-s0-0001,visibility,event,0.0,50.0,30.0,1,0,0,0,0,0,0,30.59611862757004,285.5868915940902,30.59611862757004,0.0
random-s0-0001,visibility,event,0.0,100.0,30.0,1,0,0,0,0,0,0,30.282274197540687,285.5868915940905,30.282274197540687,0.0
random-s0-0001,visibility,event,50.0,20.0,30.0,1,0,0,0,0,0,0,30.282274197540715,266.8031711995168,30.282274197540715,0.0
random-s0-0001,visibility,event,50.0,50.0,30.0,1,0,0,0,0,0,0,30.59611862757004,287.95982990823813,30.59611862757004,0.0
random-s0-0001,visibility,event,50.0,100.0,30.0,1,0,0,0,0,0,0,30.282274197540687,285.5868915940905,30.282274197540687,0.0
random-s0-0001,visibility,event,100.0,20.0,30.0,1,0,0,0,0,0,0,30.282274197540715,82.98849908956316,30.282274197540715,0.0
random-s0-0001,visibility,event,100.0,50.0,30.0,1,0,0,0,0,0,0,30.59611862757004,285.5868915940902,30.59611862757004,0.0
random-s0-0001,visibility,event,100.0,100.0,30.0,1,0,0,0,0,0,0,30.282274197540687,285.5868915940905,30.282274197540687,0.0
random-s0-0002,voronoi,once,0.0,20.0,0.0,1,0,0,0,0,0,0,11.073851234920909,164.350226247045,11.073851234920909,0.0
random-s0-0002,voronoi,cycle,0.0,20.0,0.0,1,0,0,0,0,0,0,7.168676166193478,20.69395938452044,7.168676166193478,0.0
random-s0-0002,voronoi,cycle,0.0,50.0,0.0,1,0,0,0,0,0,0,12.591672392733043,56.93770633829439,12.591672392733043,0.0
random-s0-0002,voronoi,cycle,0.0,100.0,0.0,1,0,0,0,0,0,0,11.073851234920909,238.86350382603555,11.073851234920909,0.0
random-s0-0002,voronoi,cycle,50.0,20.0,0.0,1,0,0,0,0,0,0,12.480096404219095,234.08451315381168,12.480096404219095,0.0
random-s0-0002,voronoi,cycle,50.0,50.0,0.0,1,0,0,0,0,0,0,71.44590479649943,71.44590479649943,151.366777999031,0.0
random-s0-0002,voronoi,cycle,50.0,100.0,0.0,1,0,1,1,0,1,0,-83.24921685787612,85.02426283577228,-83.24921685787612,580.0000000000002
random-s0-0002,voronoi,cycle,100.0,20.0,0.0,1,0,0,0,0,0,0,122.25109511591307,192.56423035072496,122.25109511591307,0.0
random-s0-0002,voronoi,cycle,100.0,50.0,0.0,1,0,0,0,0,0,0,26.824360127596577,231.34204390448235,26.824360127596577,0.0
random-s0-0002,voronoi,cycle,100.0,100.0,0.0,1,0,0,0,0,0,0,109.93234174669492,190.56616891534952,109.93234174669492,0.0
random-s0-0002,voronoi,event,0.0,20.0,0.0,1,0,0,0,0,0,0,7.168676166193478,135.94840713823947,7.168676166193478,0.0
random-s0-0002,voronoi,event,0.0,50.0,0.0,1,0,0,0,0,0,0,12.591672392733043,67.6410515705239,12.591672392733043,0.0
random-s0-0002,voronoi,event,0.0,100.0,0.0,1,0,0,0,0,0,0,11.073851234920909,106.01174781252138,11.073851234920909,0.0
random-s0-0002,voronoi,event,50.0,20.0,0.0,1,0,0,0,0,0,0,12.76233632876466,209.6677569687304,12.76233632876466,0.0
random-s0-0002,voronoi,event,50.0,50.0,0.0,1,0,0,0,0,0,0,12.591672392733043,222.68327205251632,12.591672392733043,0.0
random-s0-0002,voronoi,event,50.0,100.0,0.0,1,0,0,0,0,0,0,11.073851234920909,140.82325321865068,11.073851234920909,0.0
random-s0-0002,voronoi,event,100.0,20.0,0.0,1,0,0,0,0,0,0,70.24548029602377,197.89630066426952,70.24548029602377,0.0
random-s0-0002,voronoi,event,100.0,50.0,0.0,1,0,0,0,0,0,0,12.591672392733043,224.59557881640683,12.591672392733043,0.0
random-s0-0002,voronoi,event,100.0,100.0,0.0,1,0,0,0,0,0,0,7.177183929463581,155.8888413666768,7.177183929463581,0.0
random-s0-0002,prm,once,0.0,20.0,30.0,1,0,1,1,0,0,1,-169.49725411087996,46.48404866217206,-169.49725411087996,320.0
random-s0-0002,prm,cycle,0.0,20.0,30.0,1,0,0,0,0,0,0,32.00446320865569,145.8554272482245,32.00446320865569,0.0
random-s0-0002,prm,cycle,0.0,50.0,30.0,1,0,0,0,0,0,0,58.29559098415064,166.463255412006,58.29559098415064,0.0
random-s0-0002,prm,cycle,0.0,100.0,30.0,1,0,1,1,0,1,0,-19.493698980486958,198.1982203831844,-19.493698980486958,139.99999999999991
random-s0-0002,prm,cycle,50.0,20.0,30.0,1,0,0,0,0,0,0,32.00446320865569,145.8554272482245,32.00446320865569,0.0
random-s0-0002,prm,cycle,50.0,50.0,30.0,1,0,0,0,0,0,0,74.77045245814668,166.463255412006,74.77045245814668,0.0
random-s0-0002,prm,cycle,50.0,100.0,30.0,1,0,0,0,0,0,0,74.6496161446299,198.1982203831844,74.6496161446299,0.0
random-s0-0002,prm,cycle,100.0,20.0,30.0,1,0,0,0,0,0,0,44.20763494501574,145.8554272482245,44.20763494501574,0.0
random-s0-0002,prm,cycle,100.0,50.0,30.0,1,0,0,0,0,0,0,93.85503182084624,166.463255412006,93.85503182084624,0.0
random-s0-0002,prm,cycle,100.0,100.0,30.0,1,0,0,0,0,0,0,77.95382738654064,77.95382738654064,90.27251517107425,0.0
random-s0-0002,prm,event,0.0,20.0,30.0,1,0,0,0,0,0,0,32.00446320865569,145.8554272482245,32.00446320865569,0.0
