scenario,planner,replan_policy,prediction_horizon_ms,replan_period_ms,planning_clearance_mm,trial,seed,replan_count,replan_failures,replan_attempts,blocked_robot_ms,blocked_time_pct,any_replan_failure,rebuild_calls,check_calls,planner_calls,planning_time_ms_total,planning_time_ms_initial,planning_time_ms_max_call,planning_time_ms_p95_call,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_blocked,replans_route_finished,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns
random-s0-0016,voronoi,cycle,0.0,20.0,0.0,1,0,82,0,82,0.0,0.0,False,88,573,661,456.29929975257255,9.603400016203524,10.560599999735132,5.3884999942965806,435.1096000173129,21.18969973525964,0,0,0,82,0,2,30.47150851229774,747.2644624423522,0.3345517652139136,1
random-s0-0016,voronoi,cycle,0.0,50.0,0.0,1,0,32,0,32,0.0,0.0,False,38,229,267,182.68660004832785,10.057299979962409,6.561099988175556,5.403799994383007,173.9991999056656,8.687400142662227,0,0,0,32,0,2,75.20946073174218,749.0053444059811,0.3245122121489666,1
random-s0-0016,voronoi,cycle,0.0,100.0,0.0,1,0,16,0,16,0.0,0.0,False,22,113,135,94.92870012763888,10.134000011021271,5.71160000981763,5.275600007735193,90.69900002214126,4.2297001054976135,0,0,0,16,0,2,136.64198679803042,749.8991067881251,0.3325620567239006,1
random-s0-0016,voronoi,cycle,50.0,20.0,0.0,1,0,94,2,96,40.0,0.2710027100271001,True,100,569,669,530.5249999510124,16.138900042278692,12.136200006352738,5.385199998272583,502.699699922232,27.825300028780475,0,0,0,94,0,4,41.08042921838332,745.3179606345428,0.5176775007279703,2
random-s0-0016,voronoi,cycle,50.0,50.0,0.0,1,0,37,0,37,0.0,0.0,False,43,228,271,215.87450031074692,17.186100041726604,8.36380000691861,5.494899989571422,206.49930016952567,9.375200141221285,0,0,0,37,0,4,86.50467820136244,775.1666238225738,0.4651911314637951,3
random-s0-0016,voronoi,cycle,50.0,100.0,0.0,1,0,18,0,18,0.0,0.0,False,24,113,137,103.19999998318964,15.775100007886069,5.903999990550801,5.554700008360669,98.90489996178076,4.295100021408871,0,0,0,18,0,5,65.15810632407874,224.07513765444187,0.4147108775250528,2
random-s0-0016,voronoi,cycle,100.0,20.0,0.0,1,0,132,3,135,60.0,0.3759398496240599,True,138,567,705,662.0906002062839,16.466899949591607,10.413300013169646,5.55450000683777,627.1229001577012,34.96770004858263,0,0,0,132,0,6,32.223835470271624,739.9173744892531,0.8468721689034783,3
random-s0-0016,voronoi,cycle,100.0,50.0,0.0,1,0,52,1,53,50.0,0.31210986267166063,True,58,227,285,264.35419972403906,15.81299997633323,6.118199991760776,5.230500013567507,253.2045000407379,11.14969968330115,0,0,0,52,0,6,73.47076057371572,737.9255234016537,0.7459082201783828,3
random-s0-0016,voronoi,cycle,100.0,100.0,0.0,1,0,22,0,22,0.0,0.0,False,28,112,140,119.84589989879169,14.03069999651052,6.371199997374788,5.435099999886006,116.00980002549476,3.836099873296917,0,0,0,22,0,5,125.71373191805692,737.4215336252213,0.5109248475317687,3
random-s0-0016,voronoi,event,0.0,20.0,0.0,1,0,2,0,2,0.0,0.0,False,8,708,716,46.53409952879883,9.71490005031228,5.0171999901067466,0.0505000061821192,19.591800053603947,26.942299475194886,2,0,0,0,0,3,664.9794605291711,749.1800452753846,0.3304492603394832,2
random-s0-0016,voronoi,event,0.0,50.0,0.0,1,0,2,0,2,0.0,0.0,False,8,281,289,29.94879984180443,8.65120001253672,5.991800018819049,0.0559999898541718,19.44380003260449,10.504999809199944,2,0,0,0,0,3,666.2718372806969,749.8953229377272,0.3348605454697427,2
random-s0-0016,voronoi,event,0.0,100.0,0.0,1,0,2,0,2,0.0,0.0,False,8,137,145,26.60779989673756,10.78019998385571,5.505099979927763,0.0719999952707439,20.81469996483065,5.793099931906909,2,0,0,0,0,3,666.4023692575898,749.8991067881251,0.3376306355822017,2
random-s0-0016,voronoi,event,50.0,20.0,0.0,1,0,8,0,8,0.0,0.0,False,14,710,724,63.10210021911189,15.277700003935024,5.884500016691163,0.0503000046592205,35.62920002150349,27.4729001976084,7,0,0,0,1,6,246.18083601532385,746.0340556915847,0.4406463769199229,1
random-s0-0016,voronoi,event,50.0,50.0,0.0,1,0,3,0,3,0.0,0.0,False,9,289,298,38.65079986280762,13.168699981179088,5.383100011385977,0.0541000044904649,28.26920000370592,10.381599859101698,2,1,0,0,0,4,326.94874350721943,775.160087360192,0.270947295992739,1
random-s0-0016,voronoi,event,50.0,100.0,0.0,1,0,4,0,4,0.0,0.0,False,10,137,147,42.79380012303591,25.022000016178936,12.37879999098368,0.0624999811407178,37.62200003257021,5.171800090465695,4,0,0,0,0,5,226.67813665290765,304.0062765836267,0.4404700669749682,2
random-s0-0016,voronoi,event,100.0,20.0,0.0,1,0,11,1,12,20.0,0.09633911368015408,True,17,728,745,70.43369999155402,15.726399957202377,5.601900018518791,0.0591000134591013,34.27869998267852,36.155000008875504,11,0,0,0,0,5,159.06468635832547,739.9173744892531,0.4082507840143,2
random-s0-0016,voronoi,event,100.0,50.0,0.0,1,0,6,1,7,50.0,0.234741784037559,True,12,306,318,49.20559999300167,13.569800037657842,5.434199993032962,0.0567000242881476,32.788700016681105,16.416899976320565,6,0,0,0,0,4,368.20308667915054,737.9255234016537,0.4798614028096894,2
random-s0-0016,voronoi,event,100.0,100.0,0.0,1,0,8,0,8,0.0,0.0,False,14,143,157,49.62040003738366,14.74499999312684,5.34999999217689,4.171399981714785,43.81450000801124,5.805900029372424,7,1,0,0,0,5,268.80493481140513,441.6178518559884,0.6229281667760567,2
random-s0-0016,prm,once,0.0,20.0,30.0,1,0,0,0,0,0.0,0.0,False,6,0,6,30.30300000682473,30.30300000682473,10.274100000970066,10.274100000970066,30.30300000682473,0.0,0,0,0,0,0,0,0.0,0.0,0.1465658066861218,0
random-s0-0016,prm,cycle,0.0,20.0,30.0,1,0,148,0,148,0.0,0.0,False,154,576,730,1587.2028994490393,31.84919996419921,19.624500011559576,9.975099994335324,1461.0335999168456,126.16929953219368,0,0,0,148,0,3,10.107248821388016,400.8083331734024,1.146306769792893,10
random-s0-0016,prm,cycle,0.0,50.0,30.0,1,0,58,0,58,0.0,0.0,False,64,230,294,596.7038998787757,29.784199985442683,11.634399998001754,9.595600015018135,551.023200066993,45.68069981178269,0,0,0,58,0,3,17.872066957024167,398.34558770125057,0.79751740700171,6
random-s0-0016,prm,cycle,0.0,100.0,30.0,1,0,29,0,29,0.0,0.0,False,35,114,149,310.88230008026585,30.60989998630248,15.138199989451095,9.21560000278987,285.7639000285417,25.11840005172417,0,0,0,29,0,2,22.57064212011992,286.281851069789,0.3956313725589832,2
random-s0-0016,prm,cycle,50.0,20.0,30.0,1,0,159,10,169,200.0,1.0893246187363825,True,165,576,741,2134.757500811247,28.357199975289404,46.76230001496151,11.501100001623854,1976.108000293607,158.64950051764026,0,0,0,159,0,3,16.80119179071243,701.9495176214725,1.1127083792965342,11
random-s0-0016,prm,cycle,50.0,50.0,30.0,1,0,63,3,66,150.0,0.7961783439490454,True,69,228,297,810.0713994936086,37.820199999259785,13.57459998689592,12.019799993140625,744.0768998640124,65.99449962959625,0,0,0,63,0,4,35.777392786464404,663.8512272354956,1.1015895231794894,9
random-s0-0016,prm,cycle,50.0,100.0,30.0,1,0,33,2,35,200.0,1.022494887525562,True,39,113,152,424.3329996825196,34.44009996019304,13.735300017287956,11.64549999521114,395.613999950001,28.71899973251857,0,0,0,33,0,4,47.96033895589642,613.6317570977823,0.9360902425580578,6
random-s0-0016,prm,cycle,100.0,20.0,30.0,1,0,195,36,231,720.0,3.896103896103893,True,201,554,755,2323.6830001987983,35.37830006098375,21.196800022153184,11.872299975948408,2157.690100139007,165.99290005979128,0,0,0,195,0,5,31.921344299580845,750.0,1.5953237402849216,12
random-s0-0016,prm,cycle,100.0,50.0,30.0,1,0,75,18,93,900.0,4.702194357366776,True,81,225,306,752.2880001051817,33.41889995499514,13.34200002020225,9.715799998957664,701.0305000003427,51.25750010483898,0,0,0,75,0,4,48.96554620858372,750.0,1.0728662827832145,7
random-s0-0016,prm,cycle,100.0,100.0,30.0,1,0,36,12,48,1200.0,6.289308176100627,True,42,115,157,371.7807999928482,31.71570002450608,13.055599993094802,9.93420000304468,347.3422999959439,24.438499996904284,0,0,0,36,0,4,48.24880025873856,750.0,0.6835111867052048,5
random-s0-0016,prm,event,0.0,20.0,30.0,1,0,2,0,2,0.0,0.0,False,8,747,755,60.85199987865053,27.244400029303502,9.638999996241182,0.0316000077873468,44.862400012789294,15.989599865861235,2,0,0,0,0,2,327.5735093725941,393.0896075199712,0.1958215548733135,0
random-s0-0016,prm,event,0.0,50.0,30.0,1,0,7,0,7,0.0,0.0,False,13,282,295,102.5303998903837,28.02739999606274,11.391000007279215,0.0390000059269368,95.41889998945408,7.11149990092963,7,0,0,0,0,3,116.89150963588791,286.45177870439755,0.7922882212382402,6
random-s0-0016,prm,event,0.0,100.0,30.0,1,0,4,0,4,0.0,0.0,False,10,139,149,73.38700006948784,30.310100031783804,10.828500002389774,0.0481999886687845,70.21640002494678,3.170600044541061,4,0,0,0,0,2,163.63715537086932,286.281851069789,0.3956313725589832,2
random-s0-0016,prm,event,50.0,20.0,30.0,1,0,15,10,25,200.0,1.0822510822510814,True,21,721,742,196.14240012015216,29.75130002596416,11.647900013485923,0.0610999995842576,177.9080000706017,18.23440004955046,15,0,0,0,0,3,168.64248658009592,653.1766128467765,1.1043106495459698,10
