scenario,planner,trial,seed,status,completed,timed_out,robot_count,planner_calls,failed_plans,failed_robots,planning_time_ms_total,planning_time_ms_mean,simulated_duration_ms,wall_time_ms,realtime_factor,ticks,robot_collision_episodes,obstacle_collision_episodes,collision_episodes,planned_path_length_mm,travelled_distance_mm,mean_final_error_mm,max_final_error_mm,minimum_clearance_mm,dt_ms,backend,physics_validation_passed,missed_frames,max_frame_gap_ms,max_final_speed_mmps,evidence_directory,error,scenario_set,replan_policy,replan_count,replan_failures,planning_time_ms_initial,planning_time_ms_max_call,time_to_goal_ms,prediction_horizon_ms,planning_clearance_mm,planning_time_ms_p95_call,straight_line_mm,replan_period_ms,rebuild_calls,check_calls,planning_time_ms_rebuild,planning_time_ms_check,replans_active_blocked,replans_route_finished,replans_route_blocked,replans_scheduled,replans_other,direct_path_switches,path_shift_mm_mean,path_shift_mm_max,heading_change_rad_per_m,sharp_turns,minimum_robot_clearance_mm,minimum_obstacle_clearance_mm,contact_time_ms
random-s0-0000,prm,1,0,completed,True,False,3,345,0,,78.64117300007933,0.2279454289857372,2680.000000000002,112.02413199998773,23.923416786664284,134,0,1,1,14791.757420741425,14385.421743915384,58.85000256617806,59.16635580827475,-0.6805364969730192,20.0,kinematic,False,0,0.0,,,,random,cycle,7,1,5.477516999974341,7.189159000006384,2680.000000000002,0.0,0.0,0.1580100000069251,14555.329011589882,20.0,10,335,42.08870700003331,36.552466000046024,0,0,0,7,0,4,44.708538237136814,111.29777520251542,0.06597242042859587,0,1735.930925111596,-0.6805364969730192,20.0
random-s0-0000,prm,1,0,completed,True,False,3,345,0,,87.40951700016808,0.2533609188410669,2680.000000000002,119.79359500000442,22.37181378520198,134,0,0,0,14791.757420741425,14385.964738752542,58.762456638111075,59.16635580827475,21.805329591728878,20.0,kinematic,False,0,0.0,,,,random,cycle,10,0,4.682397000010496,5.268950000015593,2680.000000000002,0.0,20.0,0.16315799999233604,14555.329011589882,20.0,13,332,52.33574500005034,35.07377200011774,0,0,0,10,0,4,30.000086110687636,107.34399883448522,0.06367182334524489,0,1735.930925111596,21.805329591728878,0.0
random-s0-0000,prm,1,0,completed,True,False,3,345,0,,99.63207900023008,0.2887886347832756,2680.000000000002,134.62667000001716,19.906902547613043,134,0,0,0,14791.757420741425,14386.859784820357,58.737370284031726,59.16635580827475,36.64617543543636,20.0,kinematic,False,0,0.0,,,,random,cycle,12,1,4.711425999971652,5.191897999992534,2680.000000000002,0.0,40.0,0.16052600000193706,14555.329011589882,20.0,15,330,61.936488999947414,37.695590000282664,0,0,0,12,0,3,15.802343153490412,98.42320864647985,0.04335163978822453,0,1735.930925111596,36.64617543543636,0.0
random-s0-0000,prm,1,0,completed,True,False,3,345,0,,117.32489300015914,0.3400721536236497,2680.000000000002,152.8467130000024,17.533906666347214,134,0,0,0,14791.757420741425,14387.765946485819,58.74534734169524,59.16635580827475,52.87792195863875,20.0,kinematic,False,0,0.0,,,,random,cycle,14,1,5.699180000021897,5.969007999993892,2680.000000000002,0.0,60.0,0.1740479999909894,14555.329011589882,20.0,17,328,79.0987289999805,38.22616400017864,0,0,0,14,0,3,13.300378456967705,97.6156016733176,0.042944056410837504,0,1735.930925111596,52.87792195863875,0.0
random-s0-0000,prm,1,0,completed,True,False,3,345,0,,138.2067649999783,0.4005993188405168,2680.000000000002,177.31354699998292,15.114468382950232,134,0,0,0,14791.757420741425,14390.056317259141,58.828370357223086,59.16635580827475,94.39722964367962,20.0,kinematic,False,0,0.0,,,,random,cycle,18,0,5.545394000023407,6.296676999994588,2680.000000000002,0.0,90.0,5.009172000001172,14555.329011589882,20.0,21,324,101.01956099998688,37.187203999991425,0,0,0,18,0,1,5.4881178608925864e-14,1.2170879560707675e-13,0.008935291264727573,0,1735.930925111596,94.39722964367962,0.0
random-s0-0000,prm,1,0,completed,True,False,3,347,0,,119.68696400003864,0.34491920461106235,2720.000000000002,152.79382699998223,17.801766297798917,136,0,0,0,14791.757420741425,14417.276988163194,58.370753311607324,59.16635580827475,117.20452374538928,20.0,kinematic,False,0,0.0,,,,random,cycle,18,1,5.16417600002228,4.996610000006285,2720.000000000002,100.0,0.0,4.134417999978268,14555.329011589882,20.0,21,326,85.41877500005057,34.26818899998807,0,0,0,18,0,1,28.25123373473594,406.59236601068335,0.1750075685611522,0,1735.930925111596,117.20452374538928,0.0
random-s0-0000,prm,1,0,completed,True,False,3,347,0,,120.74058799981913,0.34795558501388796,2720.000000000002,152.6684530000182,17.816385419191207,136,0,0,0,14791.757420741425,14424.765089279996,58.53607160649025,59.16635580827475,133.9297445330148,20.0,kinematic,False,0,0.0,,,,random,cycle,18,2,4.796602000027406,5.930526000014424,2720.000000000002,100.0,20.0,4.1494509999893125,14555.329011589882,20.0,21,326,86.53387700002213,34.206710999797,0,0,0,18,0,1,120.86189109041091,593.8489919398697,0.25433322526407837,0,1735.930925111596,133.9297445330148,0.0
random-s0-0000,prm,1,0,completed,True,False,3,348,0,,194.90686099982213,0.5600771867810981,2740.000000000002,240.21331000000146,11.406528639066607,137,0,0,0,14791.757420741425,14453.795913203208,58.86716558157561,59.16635580827475,155.82912998104183,20.0,kinematic,False,0,0.0,,,,random,cycle,20,0,12.81825099997036,14.260060999987445,2740.000000000002,100.0,40.0,4.147458999995024,14555.329011589882,20.0,23,325,143.23550699995735,51.67135399986478,0,0,0,20,0,1,213.92872326673768,633.4812202826411,0.49660674842414393,0,1735.930925111596,155.82912998104183,0.0
random-s0-0000,prm,1,0,completed,True,False,3,350,0,,127.60068800042745,0.3645733942869356,2780.000000000002,159.45490299998255,17.43439648262372,139,0,0,0,14791.757420741425,14490.599523087716,58.67401809825814,59.16635580827475,168.37362392949126,20.0,kinematic,False,0,0.0,,,,random,cycle,21,0,4.700892999977668,5.171597000014572,2780.000000000002,100.0,60.0,4.037013000015577,14555.329011589882,20.0,24,326,94.83216399999606,32.7685240004314,0,0,0,21,0,2,226.42901248966368,558.209617793012,0.634059742339831,0,1735.930925111596,168.37362392949126,0.0
random-s0-0000,prm,1,0,completed,True,False,3,357,0,,162.47958799968387,0.4551248963576579,2920.0000000000023,201.86430900000119,14.465162338330869,146,0,0,0,14791.757420741425,14951.808971119484,58.827435617216366,59.16635580827475,195.14653208005086,20.0,kinematic,False,0,0.0,,,,random,cycle,29,0,4.571707999986074,4.9836510000034195,2920.0000000000023,100.0,90.0,4.010386999993898,14555.329011589882,20.0,32,325,122.28748399991218,40.19210399977169,0,0,0,29,0,4,181.79683914976698,604.5503690061643,0.8021418434508604,0,1735.930925111596,195.14653208005086,0.0
